ActivityStartDate,ActivityStartTime/Time,ActivityEndDate,ActivityEndTime/Time,MonitoringLocationIdentifier,ActivityDepthHeightMeasure/MeasureValue,ActivityMediaName,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultStatusIdentifier,MeasureQualifierCode,DetectionQuantitationLimitMeasure/MeasureValue,ResultDetectionConditionText,ProjectIdentifier,ResultAnalyticalMethod/MethodName,ProviderName,ActivityDepthHeightMeasure/MeasureUnitCode
2013-11-18,,,,21OHIO_WQX-P11E01,,Water,Total suspended solids,,,Final,,5.0,Present Below Quantification Limit,1708,,STORET,
2013-11-18,,,,21OHIO_WQX-P11E01,,Water,Manganese,51.0,ug/L,Final,,,,1708,USEPA 200.7,STORET,
2013-11-18,,,,21OHIO_WQX-P11E01,,Water,Strontium,2190.0,ug/L,Final,,,,1708,USEPA 200.7,STORET,
2013-11-18,,,,21OHIO_WQX-P11E01,,Water,Calcium,68.0,mg/L,Final,,,,1708,OEPA Method,STORET,
2013-11-18,10:15:00,,,21OHIO_WQX-P11K28,,Water,Specific conductance,792.0,umho/cm,Final,,,,1708,,STORET,
2013-11-18,,,,21OHIO_WQX-P11E01,,Water,"Carbonaceous biochemical oxygen demand, standard conditions",2.0,mg/L,Final,,,,1708,SM 5210B,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,pH,9.22,,Final,,,,1678,USEPA 150.1,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Cadmium,,,Final,,0.2,Present Below Quantification Limit,1678,,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Total suspended solids,51.0,mg/L,Final,,,,1678,SM 2540D,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Lead,,,Final,,2.0,Present Below Quantification Limit,1678,,STORET,
2013-07-29,10:58:00,,,21OHIO_WQX-P11S39,,Water,Specific conductance,484.5,umho/cm,Final,,,,1678,,STORET,
2013-11-19,,,,21OHIO_WQX-P11E01,,Water,Cyanide,,,Final,,5.0,Present Below Quantification Limit,1708,,STORET,
2013-11-19,,,,21OHIO_WQX-P11E01,,Water,Escherichia coli,32.0,#/100mL,Final,,,,1736,OEPA 650.1,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Calcium,57.0,mg/L,Final,,,,1678,OEPA Method,STORET,
2013-11-18,,,,21OHIO_WQX-P11K28,,Water,Calcium,71.0,mg/L,Final,,,,1708,OEPA Method,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Carbonate,19.8,mg/L,Final,,,,1678,SM 2320B,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Bicarbonate,132.0,mg/L,Final,,,,1678,SM 2320B,STORET,
2013-11-18,,,,21OHIO_WQX-P11E01,,Water,Chromium,,,Final,,2.0,Present Below Quantification Limit,1708,,STORET,
2013-07-29,10:58:00,,,21OHIO_WQX-P11S39,,Water,Dissolved oxygen (DO),8.03,mg/L,Final,,,,1678,,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Orthophosphate,,,Final,,0.01,Present Below Quantification Limit,1678,,STORET,
2013-11-19,10:34:00,,,21OHIO_WQX-P11E01,,Water,Specific conductance,933.0,umho/cm,Final,,,,1708,,STORET,
2013-11-18,,,,21OHIO_WQX-P11E01,,Water,Nickel,3.6,ug/L,Final,,,,1708,USEPA 200.7,STORET,
2013-11-19,10:34:00,,,21OHIO_WQX-P11E01,,Water,pH,6.67,,Final,,,,1708,,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Kjeldahl nitrogen,0.9,mg/L,Final,,,,1678,USEPA 351.2,STORET,
2013-11-18,10:15:00,,,21OHIO_WQX-P11K28,,Water,"Temperature, water",7.5,deg C,Final,,,,1708,,STORET,
2013-11-18,,,,21OHIO_WQX-P11E01,,Water,Zinc,14.0,ug/L,Final,,,,1708,USEPA 200.7,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Potassium,5.0,mg/L,Final,,,,1678,USEPA 200.7,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Barium,47.0,ug/L,Final,,,,1678,USEPA 200.7,STORET,
2013-11-18,,,,21OHIO_WQX-P11E01,,Water,Iron,536.0,ug/L,Final,,,,1708,USEPA 200.7,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Iron,1030.0,ug/L,Final,,,,1678,USEPA 200.7,STORET,
2013-11-18,,,,21OHIO_WQX-P11E01,,Water,"Alkalinity, total",119.0,mg/L,Final,,,,1708,USEPA 310.1,STORET,
2013-11-18,,,,21OHIO_WQX-P11E01,,Water,Specific conductance,864.0,umho/cm,Final,,,,1708,SM 2510B,STORET,
2013-07-29,10:58:00,,,21OHIO_WQX-P11S39,,Water,pH,8.98,,Final,,,,1678,,STORET,
2013-11-18,,,,21OHIO_WQX-P11E01,,Water,Chemical oxygen demand,23.0,mg/L,Final,,,,1708,SM 5220D,STORET,
2013-07-29,10:58:00,,,21OHIO_WQX-P11S39,,Water,Dissolved oxygen saturation,91.2,%,Final,,,,1678,,STORET,
2013-11-18,,,,21OHIO_WQX-P11E01,,Water,Copper,2.2,ug/L,Final,,,,1708,SM 3113B,STORET,
2013-11-18,,,,21OHIO_WQX-P11E01,,Water,Kjeldahl nitrogen,3.5,mg/L,Final,,,,1708,USEPA 351.2,STORET,
2013-11-19,10:34:00,,,21OHIO_WQX-P11E01,,Water,Dissolved oxygen saturation,26.5,%,Final,,,,1708,,STORET,
2013-11-18,,,,21OHIO_WQX-P11E01,,Water,Phosphorus,0.392,mg/L,Final,,,,1708,USEPA 365.4,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Ammonia,,,Final,,0.05,Present Below Quantification Limit,1678,,STORET,
2013-11-19,10:34:00,,,21OHIO_WQX-P11E01,,Water,Dissolved oxygen (DO),2.62,mg/L,Final,,,,1708,,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,"Hardness, Ca, Mg",225.0,mg/L,Final,,,,1678,USEPA 200.7,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Sodium,22.0,mg/L,Final,,,,1678,USEPA 200.7,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Chromium,,,Final,,2.0,Present Below Quantification Limit,1678,,STORET,
2013-11-18,,,,21OHIO_WQX-P11K28,,Water,Magnesium,25.0,mg/L,Final,,,,1708,USEPA 200.7,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,"Alkalinity, total",151.0,mg/L,Final,,,,1678,USEPA 310.1,STORET,
2013-11-19,,,,21OHIO_WQX-P11E01,,Water,Oil and Grease,,,Final,,2.5,Present Below Quantification Limit,1708,,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Chloride,42.0,mg/L,Final,,,,1678,USEPA 325.1,STORET,
2013-11-18,10:15:00,,,21OHIO_WQX-P11K28,,Water,pH,8.06,,Final,,,,1708,,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Magnesium,20.0,mg/L,Final,,,,1678,USEPA 200.7,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Pheophytin a,12.0,ug/L,Final,,,,1678,USEPA 445,STORET,
2013-11-18,,,,21OHIO_WQX-P11E01,,Water,Chloride,119.0,mg/L,Final,,,,1708,USEPA 325.1,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Total dissolved solids,334.0,mg/L,Final,,,,1678,SM 2540C,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Selenium,,,Final,,2.0,Present Below Quantification Limit,1678,,STORET,
2013-11-18,,,,21OHIO_WQX-P11E01,,Water,Arsenic,,,Final,,2.0,Present Below Quantification Limit,1708,,STORET,
2013-11-18,,,,21OHIO_WQX-P11E01,,Water,Aluminum,,,Final,,200.0,Present Below Quantification Limit,1708,,STORET,
2013-11-18,,,,21OHIO_WQX-P11E01,,Water,Total dissolved solids,560.0,mg/L,Final,,,,1708,SM 2540C,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Nickel,3.7,ug/L,Final,,,,1678,USEPA 200.7,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Copper,3.7,ug/L,Final,,,,1678,SM 3113B,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Zinc,,,Final,,10.0,Present Below Quantification Limit,1678,,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Manganese,60.0,ug/L,Final,,,,1678,USEPA 200.7,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Specific conductance,488.0,umho/cm,Final,,,,1678,SM 2510B,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Strontium,1040.0,ug/L,Final,,,,1678,USEPA 200.7,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Arsenic,2.3,ug/L,Final,,,,1678,SM 3113B,STORET,
2013-11-18,,,,21OHIO_WQX-P11E01,,Water,Barium,18.0,ug/L,Final,,,,1708,USEPA 200.7,STORET,
2013-11-18,10:15:00,,,21OHIO_WQX-P11K28,,Water,Dissolved oxygen saturation,115.6,%,Final,,,,1708,,STORET,
2013-11-18,,,,21OHIO_WQX-P11E01,,Water,Selenium,,,Final,,2.0,Present Below Quantification Limit,1708,,STORET,
2013-11-18,,,,21OHIO_WQX-P11E01,,Water,Magnesium,17.0,mg/L,Final,,,,1708,USEPA 200.7,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Phosphorus,0.06,mg/L,Final,,,,1678,USEPA 365.4,STORET,
2012-01-11,,,,21OHIO_WQX-301440,,Water,Zinc,83.1,mg/kg,Final,,,,1162,USEPA 200.7,STORET,
2012-07-30,,,,21OHIO_WQX-204646,,Water,Manganese,,,Final,,10.0,Present Below Quantification Limit,1132,,STORET,
2012-07-24,,,,21OHIO_WQX-301644,,Water,Magnesium,26.0,mg/L,Final,,,,1663,USEPA 200.7,STORET,
2012-06-25,,,,21OHIO_WQX-P11S39,,Biological,Fish Anomalies - Multiples,0.0,count,Final,,,,1663,,STORET,
2012-05-31,,,,21OHIO_WQX-204646,,Water,Potassium,3.0,mg/L,Final,,,,1132,USEPA 200.7,STORET,
2012-08-07,,,,21OHIO_WQX-301644,,Water,Phosphorus,0.111,mg/L,Final,,,,1663,USEPA 365.4,STORET,
2012-01-11,,,,21OHIO_WQX-204346,,Water,Lead,5.62,mg/kg,Final,,,,1162,SM 3113B,STORET,
2012-06-25,,,,21OHIO_WQX-204646,,Water,Calcium,48.0,mg/L,Final,,,,1132,OEPA Method,STORET,
2012-07-30,,,,21OHIO_WQX-204646,,Water,Total suspended solids,,,Final,,5.0,Present Below Quantification Limit,1132,,STORET,
2012-05-31,,,,21OHIO_WQX-204646,,Water,"Chlorophyll a, corrected for pheophytin",5.0,ug/L,Final,,,,1132,USEPA 445,STORET,
2012-05-09,,,,21OHIO_WQX-301440,,Water,Lead,,,Final,,2.0,Present Below Quantification Limit,1162,,STORET,
2012-05-31,,,,21OHIO_WQX-204646,,Water,Total suspended solids,,,Final,,5.0,Present Below Quantification Limit,1132,,STORET,
2012-01-11,,,,21OHIO_WQX-301440,,Water,Nickel,9.25,mg/kg,Final,,,,1162,USEPA 200.7,STORET,
2012-07-30,,,,21OHIO_WQX-204646,,Water,Nickel,,,Final,,2.0,Present Below Quantification Limit,1132,,STORET,
2012-06-27,,,,21OHIO_WQX-301644,,Biological,Fish Anomalies - Erosions,0.0,count,Final,,,,1663,,STORET,
2012-05-09,,,,21OHIO_WQX-P11P38,,Water,Iron,2360.0,ug/L,Final,,,,1162,USEPA 200.7,STORET,
2012-01-11,,,,21OHIO_WQX-301441,,Water,Carbon,1.9,%,Final,,,,1162,OEPA 335.2,STORET,
2012-06-25,,,,21OHIO_WQX-204646,,Water,Escherichia coli,3.0,#/100mL,Final,,,,1722,OEPA 650.1,STORET,
2012-06-21,,,,21OHIO_WQX-P11S74,,Water,Total dissolved solids,562.0,mg/L,Final,,,,1162,SM 2540C,STORET,
2012-06-27,,,,21OHIO_WQX-301644,,Biological,Total Sample Weight,1.0,g,Final,,,,1663,,STORET,
2012-08-01,,,,21OHIO_WQX-P11K64,,Water,Strontium,11500.0,ug/L,Final,,,,1162,USEPA 200.7,STORET,
2012-08-20,,,,21OHIO_WQX-204646,,Water,Nitrite,,,Final,,0.02,Present Below Quantification Limit,1132,,STORET,
2012-07-10,,,,21OHIO_WQX-301644,,Water,Zinc,,,Final,,10.0,Present Below Quantification Limit,1663,,STORET,
2012-05-24,,,,21OHIO_WQX-301644,,Water,Escherichia coli,34.0,#/100mL,Final,,,,1722,OEPA 650.1,STORET,
2012-08-20,,,,21OHIO_WQX-204646,,Water,Turbidity,1.0,NTU,Final,,,,1132,OEPA 180.1,STORET,
2012-05-31,,,,21OHIO_WQX-204646,,Water,Selenium,,,Final,,2.0,Present Below Quantification Limit,1132,,STORET,
2012-08-07,,,,21OHIO_WQX-P11S39,,Biological,Fish Anomalies - Multiples,0.0,count,Final,,,,1663,,STORET,
2012-07-10,,,,21OHIO_WQX-301644,,Water,Chemical oxygen demand,28.0,mg/L,Final,,,,1663,SM 5220D,STORET,
2012-08-17,,,,21OHIO_WQX-301644,,Biological,Fish Anomalies - Erosions,0.0,count,Final,,,,1663,,STORET,
2012-08-28,,,,21OHIO_WQX-P11S39,,Water,"Substrate - silt, coarse",7.9,%,Final,,,,1663;1678,OEPA 160.1,STORET,
2012-01-11,,,,21OHIO_WQX-301442,,Water,Cadmium,0.322,mg/kg,Final,,,,1162,SM 3113B,STORET,
2012-07-10,,,,21OHIO_WQX-301644,,Water,Iron,440.0,ug/L,Final,,,,1663,USEPA 200.7,STORET,
2012-09-18,,,,21OHIO_WQX-P11S39,,Water,Sodium,40.0,mg/L,Final,,,,1663;1678,USEPA 200.7,STORET,
2012-06-27,,,,21OHIO_WQX-301644,,Biological,Fish Anomalies - Tumors,0.0,count,Final,,,,1663,,STORET,
2012-08-20,,,,21OHIO_WQX-204646,,Water,Copper,13.7,ug/L,Final,,,,1132,SM 3113B,STORET,
2012-05-09,,,,21OHIO_WQX-301441,,Water,Copper,6.0,ug/L,Final,,,,1162,SM 3113B,STORET,
2012-08-20,,,,21OHIO_WQX-204646,,Water,"Alkalinity, total",102.0,mg/L,Final,,,,1132,USEPA 310.1,STORET,
2012-10-01,,,,21OHIO_WQX-P11S74,,Water,Iron,360.0,ug/L,Final,,,,1162,USEPA 200.7,STORET,
2012-05-09,,,,21OHIO_WQX-P11K63,,Water,Lead,,,Final,,2.0,Present Below Quantification Limit,1162,,STORET,
2012-06-25,,,,21OHIO_WQX-P11S39,,Biological,Fish Anomalies - Lesions,0.0,count,Final,,,,1663,,STORET,
2012-08-28,,,,21OHIO_WQX-P11S39,,Water,Manganese,249.0,mg/kg,Final,,,,1663;1678,USEPA 200.7,STORET,
2012-05-31,,,,21OHIO_WQX-204646,,Water,Orthophosphate,,,Final,,0.01,Present Below Quantification Limit,1132,,STORET,
2012-06-27,,,,21OHIO_WQX-301644,,Biological,Fish Anomalies - Tumors,0.0,count,Final,,,,1663,,STORET,
2012-08-07,,,,21OHIO_WQX-P11S39,,Biological,Fish Anomalies - Erosions,0.0,count,Final,,,,1663,,STORET,
2012-08-17,,,,21OHIO_WQX-301644,,Biological,Fish Anomalies - Lesions,0.0,count,Final,,,,1663,,STORET,
2012-07-24,,,,21OHIO_WQX-301644,,Water,Zinc,,,Final,,10.0,Present Below Quantification Limit,1663,,STORET,
2012-06-27,,,,21OHIO_WQX-301644,,Biological,Fish Anomalies - Erosions,0.0,count,Final,,,,1663,,STORET,
2012-05-09,,,,21OHIO_WQX-301441,,Water,Arsenic,,,Final,,2.0,Present Below Quantification Limit,1162,,STORET,
2012-09-11,,,,21OHIO_WQX-301644,,Water,Selenium,,,Final,,2.0,Present Below Quantification Limit,1678,,STORET,
2012-06-07,,,,21OHIO_WQX-P11S39,,Water,Barium,39.0,ug/L,Final,,,,1678,USEPA 200.7,STORET,
2012-08-07,,,,21OHIO_WQX-P11S39,,Biological,Fish Anomalies - Deformities,0.0,count,Final,,,,1663,,STORET,
2012-07-30,10:31:00,,,21OHIO_WQX-204646,,Water,Dissolved oxygen saturation,4.9,%,Final,,,,1132,,STORET,
2012-09-18,,,,21OHIO_WQX-P11S39,,Water,Total dissolved solids,322.0,mg/L,Final,,,,1663;1678,SM 2540C,STORET,
2012-08-08,,,,21OHIO_WQX-P11S39,,Water,Potassium,6.0,mg/L,Final,,,,1663;1678,USEPA 200.7,STORET,
2012-06-12,,,,21OHIO_WQX-301644,,Water,Lead,,,Final,,2.0,Present Below Quantification Limit,1663,,STORET,
2012-08-20,09:52:00,,,21OHIO_WQX-204646,,Water,"Temperature, water",22.32,deg C,Final,,,,1132,,STORET,
2012-06-12,,,,21OHIO_WQX-301644,,Water,Specific conductance,508.0,umho/cm,Final,,,,1678,SM 2510B,STORET,
2012-09-27,,,,21OHIO_WQX-204646,,Water,Chloride,71.6,mg/L,Final,,,,1132,USEPA 325.1,STORET,
2012-05-31,,,,21OHIO_WQX-204646,,Water,Total dissolved solids,264.0,mg/L,Final,,,,1132,SM 2540C,STORET,
2012-05-31,,,,21OHIO_WQX-204646,,Water,Zinc,,,Final,,10.0,Present Below Quantification Limit,1132,,STORET,
2012-08-21,,,,21OHIO_WQX-301644,,Water,Calcium,46.0,mg/L,Final,,,,1663,OEPA Method,STORET,
2012-07-24,,,,21OHIO_WQX-301644,,Water,Calcium,49.0,mg/L,Final,,,,1663,OEPA Method,STORET,
2012-08-08,,,,21OHIO_WQX-P11S39,,Water,Chromium,,,Final,,2.0,Present Below Quantification Limit,1663;1678,,STORET,
2012-05-09,,,,21OHIO_WQX-301441,,Water,Phosphorus,0.153,mg/L,Final,,,,1162,USEPA 365.4,STORET,
2012-08-07,,,,21OHIO_WQX-P11S39,,Biological,Fish Anomalies - Tumors,0.0,count,Final,,,,1663,,STORET,
2012-08-17,,,,21OHIO_WQX-301644,,Biological,Fish Anomalies - Tumors,0.0,count,Final,,,,1663,,STORET,
2012-08-07,,,,21OHIO_WQX-P11S39,,Biological,Total Sample Weight,130.0,g,Final,,,,1663,,STORET,
2012-09-27,,,,21OHIO_WQX-204646,,Water,Magnesium,8.0,mg/L,Final,,,,1132,USEPA 200.7,STORET,
2012-08-17,,,,21OHIO_WQX-301644,,Biological,Fish Anomalies - Tumors,0.0,count,Final,,,,1663,,STORET,
2012-08-17,,,,21OHIO_WQX-301644,,Biological,Fish Anomalies - Multiples,0.0,count,Final,,,,1663,,STORET,
2012-09-27,10:09:00,,,21OHIO_WQX-204646,,Water,Dissolved oxygen (DO),7.8,mg/L,Final,,,,1132,,STORET,
2012-05-09,,,,21OHIO_WQX-301440,,Water,Chromium,,,Final,,2.0,Present Below Quantification Limit,1162,,STORET,
2012-08-01,,,,21OHIO_WQX-P11S74,,Water,Strontium,2970.0,ug/L,Final,,,,1162,USEPA 200.7,STORET,
2012-09-27,,,,21OHIO_WQX-204646,,Water,Nickel,,,Final,,2.0,Present Below Quantification Limit,1132,,STORET,
2012-08-28,,,,21OHIO_WQX-P11S39,,Water,"Substrate - silt, fine",3.9,%,Final,,,,1663;1678,OEPA 160.1,STORET,
2012-06-25,,,,21OHIO_WQX-P11S39,,Biological,Fish Anomalies - Tumors,0.0,count,Final,,,,1663,,STORET,
2012-06-27,,,,21OHIO_WQX-301644,,Biological,Fish Anomalies - Tumors,0.0,count,Final,,,,1663,,STORET,
2012-07-30,,,,21OHIO_WQX-204646,,Water,Copper,18.9,ug/L,Final,,,,1132,SM 3113B,STORET,
2012-08-07,,,,21OHIO_WQX-P11S39,,Biological,Fish Anomalies - Deformities,0.0,count,Final,,,,1663,,STORET,
2012-05-31,09:58:00,,,21OHIO_WQX-204646,,Water,Specific conductance,388.0,umho/cm,Final,,,,1132,,STORET,
2012-07-24,,,,21OHIO_WQX-301644,,Water,Barium,49.0,ug/L,Final,,,,1663,USEPA 200.7,STORET,
2012-09-11,11:58:00,,,21OHIO_WQX-301644,,Water,Specific conductance,550.0,umho/cm,Final,,,,1678,,STORET,
2012-05-09,,,,21OHIO_WQX-P11K63,,Water,Phosphorus,0.147,mg/L,Final,,,,1162,USEPA 365.4,STORET,
2012-01-11,,,,21OHIO_WQX-301444,,Water,Zinc,23.0,mg/kg,Final,,,,1162,USEPA 200.7,STORET,
2012-08-17,,,,21OHIO_WQX-301644,,Biological,Fish Anomalies - Tumors,0.0,count,Final,,,,1663,,STORET,
2012-08-01,,,,21OHIO_WQX-P11S74,,Water,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,0.49,mg/L,Final,,,,1162,USEPA 350.1,STORET,
2012-08-07,,,,21OHIO_WQX-P11S39,,Biological,Fish Anomalies - Multiples,0.0,count,Final,,,,1663,,STORET,
2012-07-09,10:33:00,,,21OHIO_WQX-P11S39,,Water,Dissolved oxygen saturation,74.1,%,Final,,,,1663;1678,,STORET,
2012-09-18,,,,21OHIO_WQX-P11S39,,Water,"Hardness, Ca, Mg",172.0,mg/L,Final,,,,1663;1678,USEPA 200.7,STORET,
2012-06-12,,,,21OHIO_WQX-301644,,Water,Arsenic,2.0,ug/L,Final,,,,1678,SM 3113B,STORET,
2012-08-21,,,,21OHIO_WQX-301644,,Water,Arsenic,3.0,ug/L,Final,,,,1663,SM 3113B,STORET,
2012-10-01,,,,21OHIO_WQX-P11S74,,Water,"Carbonaceous biochemical oxygen demand, standard conditions",,,Final,,3.0,Present Below Quantification Limit,1162,,STORET,
2012-08-28,,,,21OHIO_WQX-P11S39,,Water,Aluminum,4710.0,mg/kg,Final,,,,1663;1678,USEPA 200.7,STORET,
2012-08-20,,,,21OHIO_WQX-204646,,Water,Kjeldahl nitrogen,0.78,mg/L,Final,,,,1132,USEPA 351.2,STORET,
2012-07-17,,,,21OHIO_WQX-301644,,Water,Escherichia coli,24.0,#/100mL,Final,,,,1722,OEPA 650.1,STORET,
2012-10-01,,,,21OHIO_WQX-P11S74,,Water,"Hardness, Ca, Mg",390.0,mg/L,Final,,,,1162,USEPA 200.7,STORET,
2012-10-01,,,,21OHIO_WQX-P11S74,,Water,Total dissolved solids,812.0,mg/L,Final,,,,1162,SM 2540C,STORET,
2012-07-09,10:33:00,,,21OHIO_WQX-P11S39,,Water,Specific conductance,470.9,umho/cm,Final,,,,1663;1678,,STORET,
2012-06-27,,,,21OHIO_WQX-301644,,Biological,Fish Anomalies - Tumors,0.0,count,Final,,,,1663,,STORET,
2012-09-18,,,,21OHIO_WQX-P11S39,,Water,Kjeldahl nitrogen,0.89,mg/L,Final,,,,1663;1678,USEPA 351.2,STORET,
2012-07-30,,,,21OHIO_WQX-204646,,Water,Magnesium,8.0,mg/L,Final,,,,1132,USEPA 200.7,STORET,
2012-08-07,,,,21OHIO_WQX-301644,,Water,Sodium,53.0,mg/L,Final,,,,1663,USEPA 200.7,STORET,
2012-05-09,,,,21OHIO_WQX-P11K63,,Water,Sulfate,11.9,mg/L,Final,,,,1162,USEPA 375.2,STORET,
2012-08-07,,,,21OHIO_WQX-P11S39,,Biological,Fish Anomalies - Deformities,0.0,count,Final,,,,1663,,STORET,
2012-08-28,,,,21OHIO_WQX-P11S39,,Water,Substrate - clay,9.8,%,Final,,,,1663;1678,OEPA 160.1,STORET,
2012-06-27,,,,21OHIO_WQX-301644,,Biological,Total Sample Weight,11.0,g,Final,,,,1663,,STORET,
2012-06-25,,,,21OHIO_WQX-204646,,Water,Kjeldahl nitrogen,0.69,mg/L,Final,,,,1132,USEPA 351.2,STORET,
2012-10-01,,,,21OHIO_WQX-P11S74,,Water,Phosphorus,0.055,mg/L,Final,,,,1162,USEPA 365.4,STORET,
2012-05-31,,,,21OHIO_WQX-204646,,Water,Orthophosphate,,,Final,,0.01,Present Below Quantification Limit,1132,,STORET,
2012-05-09,,,,21OHIO_WQX-P11P38,,Water,Calcium,78.0,mg/L,Final,,,,1162,OEPA Method,STORET,
2012-08-21,,,,21OHIO_WQX-301644,,Water,Kjeldahl nitrogen,0.87,mg/L,Final,,,,1663,USEPA 351.2,STORET,
2012-05-09,,,,21OHIO_WQX-301441,,Water,Total dissolved solids,418.0,mg/L,Final,,,,1162,SM 2540C,STORET,
2012-08-20,,,,21OHIO_WQX-204646,,Water,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,,Final,,0.1,Present Below Quantification Limit,1132,,STORET,
2012-06-12,,,,21OHIO_WQX-301644,,Water,Zinc,,,Final,,10.0,Present Below Quantification Limit,1663,,STORET,
2012-06-25,,,,21OHIO_WQX-P11S39,,Biological,Fish Anomalies - Lesions,0.0,count,Final,,,,1663,,STORET,
2012-08-28,,,,21OHIO_WQX-P11S39,,Water,Sodium,,,Final,,3550.0,Present Below Quantification Limit,1663;1678,,STORET,
2012-06-27,,,,21OHIO_WQX-301644,,Biological,Total Sample Weight,2200.0,g,Final,,,,1663,,STORET,
